date,value,ticker
2020-01-02,1157.9500,DEXKOUS
2020-01-03,1165.1500,DEXKOUS
2020-01-06,1167.4900,DEXKOUS
2020-01-07,1166.2100,DEXKOUS
2020-01-08,1170.6100,DEXKOUS
2020-01-09,1158.6300,DEXKOUS
2020-01-10,1161.1800,DEXKOUS
2020-01-13,1156.2500,DEXKOUS
2020-01-14,1156.2800,DEXKOUS
2020-01-15,1156.8400,DEXKOUS
2020-01-16,1160.8600,DEXKOUS
2020-01-17,1159.0800,DEXKOUS
2020-01-21,1166.5600,DEXKOUS
2020-01-22,1165.6800,DEXKOUS
2020-01-23,1168.3800,DEXKOUS
2020-01-24,1166.9100,DEXKOUS
2020-01-27,1176.2000,DEXKOUS
2020-01-28,1176.2300,DEXKOUS
2020-01-29,1176.9800,DEXKOUS
2020-01-30,1191.9400,DEXKOUS
2020-01-31,1191.3000,DEXKOUS
2020-02-03,1194.8000,DEXKOUS
2020-02-04,1184.5100,DEXKOUS
2020-02-05,1187.2500,DEXKOUS
2020-02-06,1179.6400,DEXKOUS
2020-02-07,1186.2400,DEXKOUS
2020-02-10,1186.9600,DEXKOUS
2020-02-11,1181.3200,DEXKOUS
2020-02-12,1178.9800,DEXKOUS
2020-02-13,1182.0200,DEXKOUS
2020-02-14,1183.2000,DEXKOUS
2020-02-18,1190.6000,DEXKOUS
2020-02-19,1191.1000,DEXKOUS
2020-02-20,1198.3400,DEXKOUS
2020-02-21,1207.9100,DEXKOUS
2020-02-24,1218.5000,DEXKOUS
2020-02-25,1214.4500,DEXKOUS
2020-02-26,1213.6100,DEXKOUS
2020-02-27,1217.0300,DEXKOUS
2020-02-28,1214.9200,DEXKOUS
2020-03-02,1190.8900,DEXKOUS
2020-03-03,1194.6600,DEXKOUS
2020-03-04,1187.5400,DEXKOUS
2020-03-05,1181.1100,DEXKOUS
2020-03-06,1192.0000,DEXKOUS
2020-03-09,1203.7500,DEXKOUS
2020-03-10,1193.1000,DEXKOUS
2020-03-11,1194.1600,DEXKOUS
2020-03-12,1206.1900,DEXKOUS
2020-03-13,1211.7000,DEXKOUS
2020-03-16,1225.3300,DEXKOUS
2020-03-17,1240.9800,DEXKOUS
2020-03-18,1245.1900,DEXKOUS
2020-03-19,1250.8600,DEXKOUS
2020-03-20,1250.5500,DEXKOUS
2020-03-23,1267.2500,DEXKOUS
2020-03-24,1249.8800,DEXKOUS
2020-03-25,1228.1500,DEXKOUS
2020-03-26,1233.4700,DEXKOUS
2020-03-27,1210.4900,DEXKOUS
2020-03-30,1224.1100,DEXKOUS
2020-03-31,1218.9200,DEXKOUS
2020-04-01,1229.6500,DEXKOUS
2020-04-02,1229.8900,DEXKOUS
2020-04-03,1230.5600,DEXKOUS
2020-04-06,1224.6000,DEXKOUS
2020-04-07,1220.4300,DEXKOUS
2020-04-08,1220.7700,DEXKOUS
2020-04-09,1219.7100,DEXKOUS
2020-04-10,1211.7100,DEXKOUS
2020-04-13,1217.7200,DEXKOUS
2020-04-14,1216.8500,DEXKOUS
2020-04-15,1224.5500,DEXKOUS
2020-04-16,1228.2100,DEXKOUS
2020-04-17,1217.8100,DEXKOUS
2020-04-20,1217.2900,DEXKOUS
2020-04-21,1229.2800,DEXKOUS
2020-04-22,1234.7900,DEXKOUS
2020-04-23,1229.0400,DEXKOUS
2020-04-24,1233.8800,DEXKOUS
2020-04-27,1224.1600,DEXKOUS
2020-04-28,1224.8300,DEXKOUS
2020-04-29,1219.2000,DEXKOUS
2020-04-30,1203.9500,DEXKOUS
2020-05-01,1223.2000,DEXKOUS
2020-05-04,1228.8100,DEXKOUS
2020-05-05,1220.1300,DEXKOUS
2020-05-06,1222.0300,DEXKOUS
2020-05-07,1224.7600,DEXKOUS
2020-05-08,1216.4700,DEXKOUS
2020-05-11,1220.2000,DEXKOUS
2020-05-12,1222.0000,DEXKOUS
2020-05-13,1223.8600,DEXKOUS
2020-05-14,1227.7600,DEXKOUS
2020-05-15,1230.7100,DEXKOUS
2020-05-18,1232.3200,DEXKOUS
2020-05-19,1225.1900,DEXKOUS
2020-05-20,1230.0200,DEXKOUS
2020-05-21,1230.5300,DEXKOUS
2020-05-22,1236.5300,DEXKOUS
2020-05-26,1234.2400,DEXKOUS
2020-05-27,1238.0300,DEXKOUS
2020-05-28,1239.2800,DEXKOUS
2020-05-29,1236.6100,DEXKOUS
2020-06-01,1224.7900,DEXKOUS
2020-06-02,1225.0700,DEXKOUS
2020-06-03,1216.0800,DEXKOUS
2020-06-04,1218.7700,DEXKOUS
2020-06-05,1202.7900,DEXKOUS
2020-06-08,1197.8400,DEXKOUS
2020-06-09,1197.0400,DEXKOUS
2020-06-10,1189.9000,DEXKOUS
2020-06-11,1196.3400,DEXKOUS
2020-06-12,1204.5200,DEXKOUS
2020-06-15,1212.2100,DEXKOUS
2020-06-16,1207.2600,DEXKOUS
2020-06-17,1215.0200,DEXKOUS
2020-06-18,1211.6500,DEXKOUS
2020-06-19,1208.3800,DEXKOUS
2020-06-22,1210.7300,DEXKOUS
2020-06-23,1206.4300,DEXKOUS
2020-06-24,1199.5500,DEXKOUS
2020-06-25,1203.5900,DEXKOUS
2020-06-26,1203.4400,DEXKOUS
2020-06-29,1200.9100,DEXKOUS
2020-06-30,1200.5000,DEXKOUS
2020-07-01,1201.8400,DEXKOUS
2020-07-02,1199.8400,DEXKOUS
2020-07-06,1192.6600,DEXKOUS
2020-07-07,1194.4300,DEXKOUS
2020-07-08,1194.6300,DEXKOUS
2020-07-09,1197.8400,DEXKOUS
2020-07-10,1204.3400,DEXKOUS
2020-07-13,1200.1300,DEXKOUS
2020-07-14,1205.2400,DEXKOUS
2020-07-15,1201.9700,DEXKOUS
2020-07-16,1202.9700,DEXKOUS
2020-07-17,1203.8600,DEXKOUS
2020-07-20,1202.2600,DEXKOUS
2020-07-21,1194.6400,DEXKOUS
2020-07-22,1194.8300,DEXKOUS
2020-07-23,1198.9100,DEXKOUS
2020-07-24,1203.1700,DEXKOUS
2020-07-27,1195.9400,DEXKOUS
2020-07-28,1198.1500,DEXKOUS
2020-07-29,1192.9800,DEXKOUS
2020-07-30,1196.3000,DEXKOUS
2020-07-31,1192.6800,DEXKOUS
2020-08-03,1194.3100,DEXKOUS
2020-08-04,1194.5300,DEXKOUS
2020-08-05,1188.9300,DEXKOUS
2020-08-06,1185.2900,DEXKOUS
2020-08-07,1189.2500,DEXKOUS
2020-08-10,1186.2800,DEXKOUS
2020-08-11,1184.8400,DEXKOUS
2020-08-12,1184.0900,DEXKOUS
2020-08-13,1183.2500,DEXKOUS
2020-08-14,1186.5300,DEXKOUS
2020-08-17,1184.1700,DEXKOUS
2020-08-18,1184.7400,DEXKOUS
2020-08-19,1181.0600,DEXKOUS
2020-08-20,1187.6600,DEXKOUS
2020-08-21,1191.8400,DEXKOUS
2020-08-24,1189.1100,DEXKOUS
2020-08-25,1188.1800,DEXKOUS
2020-08-26,1185.6000,DEXKOUS
2020-08-27,1185.2200,DEXKOUS
2020-08-28,1181.6200,DEXKOUS
2020-08-31,1187.4800,DEXKOUS
2020-09-01,1182.9400,DEXKOUS
2020-09-02,1189.9800,DEXKOUS
2020-09-03,1188.0400,DEXKOUS
2020-09-04,1190.6000,DEXKOUS
2020-09-08,1188.6900,DEXKOUS
2020-09-09,1185.1200,DEXKOUS
2020-09-10,1184.4100,DEXKOUS
2020-09-11,1186.5500,DEXKOUS
2020-09-14,1181.2700,DEXKOUS
2020-09-15,1179.9900,DEXKOUS
2020-09-16,1176.0000,DEXKOUS
2020-09-17,1174.2500,DEXKOUS
2020-09-18,1163.2000,DEXKOUS
2020-09-21,1166.7500,DEXKOUS
2020-09-22,1164.8300,DEXKOUS
2020-09-23,1164.5600,DEXKOUS
2020-09-24,1170.4900,DEXKOUS
2020-09-25,1172.7100,DEXKOUS
2020-09-28,1168.0800,DEXKOUS
2020-09-29,1169.6700,DEXKOUS
2020-09-30,1165.9700,DEXKOUS
2020-10-01,1163.0500,DEXKOUS
2020-10-02,1166.0800,DEXKOUS
2020-10-05,1157.7700,DEXKOUS
2020-10-06,1162.0000,DEXKOUS
2020-10-07,1158.4100,DEXKOUS
2020-10-08,1152.4400,DEXKOUS
2020-10-09,1143.4600,DEXKOUS
2020-10-13,1147.4000,DEXKOUS
2020-10-14,1146.5800,DEXKOUS
2020-10-15,1143.0300,DEXKOUS
2020-10-16,1146.8200,DEXKOUS
2020-10-19,1141.7600,DEXKOUS
2020-10-20,1138.6500,DEXKOUS
2020-10-21,1132.1100,DEXKOUS
2020-10-22,1135.2600,DEXKOUS
2020-10-23,1129.7700,DEXKOUS
2020-10-26,1127.7700,DEXKOUS
2020-10-27,1127.9000,DEXKOUS
2020-10-28,1133.7600,DEXKOUS
2020-10-29,1131.1200,DEXKOUS
2020-10-30,1133.9900,DEXKOUS
2020-11-02,1134.6200,DEXKOUS
2020-11-03,1134.3000,DEXKOUS
2020-11-04,1137.3700,DEXKOUS
2020-11-05,1122.9600,DEXKOUS
2020-11-06,1121.0000,DEXKOUS
2020-11-09,1113.1400,DEXKOUS
2020-11-10,1117.6300,DEXKOUS
2020-11-12,1112.9500,DEXKOUS
2020-11-13,1109.4700,DEXKOUS
2020-11-16,1106.8800,DEXKOUS
2020-11-17,1105.3300,DEXKOUS
2020-11-18,1105.7200,DEXKOUS
2020-11-19,1114.9300,DEXKOUS
2020-11-20,1114.4800,DEXKOUS
2020-11-23,1115.4200,DEXKOUS
2020-11-24,1110.9300,DEXKOUS
2020-11-25,1106.8400,DEXKOUS
2020-11-30,1105.7900,DEXKOUS
2020-12-01,1107.3300,DEXKOUS
2020-12-02,1100.1500,DEXKOUS
2020-12-03,1096.2800,DEXKOUS
2020-12-04,1081.8500,DEXKOUS
2020-12-07,1082.2200,DEXKOUS
