model,baseline,MAE,RMSE,MAPE
RNN,Naive,-55.974852618686214,-63.318270266218185,-53.92707117848617
RNN,SMA5,-5.680788603081545,-15.493416681675265,-4.372074286366805
RNN,SMA10,17.20257891989517,9.416465453578509,18.083903854862676
RNN,SMA20,42.5096013732625,35.886561828704444,42.95357511920655
RNN,EMA0.1,34.046927251527265,26.477956634544704,34.53104978257404
RNN,EMA0.3,-14.065633428762329,-22.42815732427187,-12.76688490983648
RNN,EMA0.5,-37.904266718909135,-45.335904620705115,-36.13827823100675
LSTM,Naive,-59.584051064143885,-62.83346318259496,-58.093621975747475
LSTM,SMA5,-8.12620163946025,-15.150576738367914,-7.1972534182780645
LSTM,SMA10,15.286678257493023,9.685360900096216,15.866570847166503
LSTM,SMA20,41.17929553313053,36.0768813130476,41.409422909668514
LSTM,EMA0.1,32.52079836830993,26.69620537896212,32.75891376623956
LSTM,EMA0.3,-16.705068568077294,-22.064731739314382,-15.819297657175376
LSTM,EMA0.5,-41.0953187167633,-44.90447783697753,-39.82331587486249
LSTM_residual,Naive,-0.357345485057322,-0.14683230731199653,-0.34162411462423814
LSTM_residual,SMA5,32.002863058309735,29.179388110316697,31.962172956812484
LSTM_residual,SMA10,46.72648024280058,44.454138356738916,46.600724190992
LSTM_residual,SMA20,63.00952557293233,60.68561263403201,62.81270813088941
LSTM_residual,EMA0.1,57.564471474123785,54.916251955099334,57.32225174167958
LSTM_residual,EMA0.3,26.607885888069216,24.92700221927854,26.489783170893006
LSTM_residual,EMA0.5,11.269631568063286,10.879961901654536,11.254493200692647
