model,MAE,RMSE,MAPE,MAPE_excluded
Naive,5.073679999999996,6.829306260521629,0.37198291141601864,0
SMA5,7.488272000000006,9.657264609815757,0.5485973185280762,0
SMA10,9.557864000000002,12.312949491003375,0.6989864358436343,0
SMA20,13.765194,17.396516508858895,1.0037130320149452,0
EMA0.1,11.99893283596405,15.170286821907078,0.8745861953270407,0
EMA0.3,6.93781699576156,9.110244815924585,0.507757575537315,0
EMA0.5,5.738520707611034,7.674294170442382,0.42058883678222486,0
RNN,7.913664902343752,11.153504855866471,0.5725824008271401,0
LSTM,8.096784082031249,11.120395895353141,0.58808125778842,0
LSTM_residual,5.091810566406252,6.839333888477356,0.373253694743697,0
