model,actual,predicted,count
scratch,cat,cat,63
scratch,cat,deer,77
scratch,cat,dog,110
scratch,deer,cat,39
scratch,deer,deer,137
scratch,deer,dog,74
scratch,dog,cat,64
scratch,dog,deer,70
scratch,dog,dog,116
linear_probe,cat,cat,181
linear_probe,cat,deer,19
linear_probe,cat,dog,50
linear_probe,deer,cat,26
linear_probe,deer,deer,205
linear_probe,deer,dog,19
linear_probe,dog,cat,44
linear_probe,dog,deer,16
linear_probe,dog,dog,190
fine_tune,cat,cat,174
fine_tune,cat,deer,25
fine_tune,cat,dog,51
fine_tune,deer,cat,31
fine_tune,deer,deer,199
fine_tune,deer,dog,20
fine_tune,dog,cat,44
fine_tune,dog,deer,14
fine_tune,dog,dog,192
augmented,cat,cat,178
augmented,cat,deer,20
augmented,cat,dog,52
augmented,deer,cat,31
augmented,deer,deer,181
augmented,deer,dog,38
augmented,dog,cat,59
augmented,dog,deer,14
augmented,dog,dog,177
