sample_id,split,label,sha256
cifar10_train_15246,Train,cat,7b99282ef37dd62efbd0b727cc2be199868fa2f1c58b4fe5ca8dba3811eb3a0d
cifar10_train_11596,Train,cat,8576f94e2cbeacb29feec6549b880e2a9ca8f6788358a8e92c665587907fd1ba
cifar10_train_34005,Train,cat,b4574fcd4532565b69bc15e52a04f80693818a33ea58abb42d4649c2a1cc307a
cifar10_train_38432,Train,cat,15e47ff3d1cb202e761e70c59485bbf66b37a98656bf649ab2633694ef5999d9
cifar10_train_6567,Train,cat,5386c9410ca668c43f5d379e3bb61c79154668e42f6d4949c253e4800183d996
cifar10_train_995,Train,cat,892d8ec1cfadf33950119d5df9098126d54e8ef6e32f01867971b7c3fd385d74
cifar10_train_28067,Train,cat,ff01417384367548bc71b4a162c531e5f1cb8bf275c646be8e5bc3b5798dc714
cifar10_train_38903,Train,cat,b8a9e9e316d647f8f3f13aa780a43fa7ebbc2e220133384eb002a0807ff90d35
cifar10_train_21982,Train,cat,fc34221f6bae098ae1af0f41f0fc41fc3017a4507c51617b054391fd9993dce9
cifar10_train_21552,Train,cat,bf6013a5fb12386ecd44e6f63dfa54a762df302e350d18b70efd6b355d291cfa
cifar10_train_37675,Train,cat,05abb344f5dfbc2aa10ff3ce58802fa107227aa308e4079f835d561c636deb57
cifar10_train_35755,Train,cat,c59ef81a03ffd3fce9999b76be25cb68870dc01cb4a79bf45612c12319766261
cifar10_train_9185,Train,cat,14a2f35aed51ce34b4cbc314b4066dc72e450beddf852e671afeac9d6eeb7e2a
cifar10_train_42551,Train,cat,2a77a9de29064dcd289f76bb6313b31580a1fa85807fc5db3db464bde7eff3d2
cifar10_train_7213,Train,cat,496d046b73beb53c8d8cb1a595fa6c534c3496a57602ab369ae06b051265a8e9
cifar10_train_13061,Train,cat,45c5e03a218696ea7bbaabc35bdff9a7049b8c96205ad6ccf2623a0516ae8047
cifar10_train_4669,Train,cat,1b7aaf37fbbaf749570a9c554f0c01965c8d6316837b0f5012b6add3d748f483
cifar10_train_38673,Train,cat,cbd1d5b6e05fef1f4d5ea32b57b01aa26a58f674a4bb4330793a76ce90480152
cifar10_train_24949,Train,cat,41ade1dd996cccd16828aa6fe3de7ddf339e5b69584c879976b0e5b2dab377fb
cifar10_train_49079,Train,cat,ac2a1df51652952045010f209ada3926a9fef98a9b0c2b154d4f42f69e07b3e2
cifar10_train_28953,Train,cat,ef3314092a2f635e8236b4713fe9c3fe256d8fb00cae768827387b266153cfb7
cifar10_train_30573,Train,cat,abfb14fb959574cc5cab7d1d2abe008b0b4b225606fe905b125d6f7300fb595c
cifar10_train_47683,Train,cat,fed87f93645991f9b5ff4131fda8dac8bc25787fd2cdd1425516a6a545e1f54f
cifar10_train_40095,Train,cat,0c51a7d66b2a973170add85ccd9c6d684d42120a1d5fa7c3e93911447918a4cc
