model,split,loss,accuracy
scratch,Train,0.6363862037658692,0.8166666666666667
scratch,Validation,1.0691930516560872,0.44666666666666666
scratch,Test,1.0967479591369629,0.42133333333333334
linear_probe,Train,0.194729216893514,0.9666666666666667
linear_probe,Validation,0.5268548838297527,0.7822222222222223
linear_probe,Test,0.5457935663859049,0.768
fine_tune,Train,0.002147901977878064,1.0
fine_tune,Validation,0.669500370224317,0.7911111111111111
fine_tune,Test,0.6914322242736817,0.7533333333333333
augmented,Train,0.10415846904118856,0.975
augmented,Validation,0.7789643228054046,0.7266666666666667
augmented,Test,0.7569103202819825,0.7146666666666667
