window,hidden,lr,weight_decay,batch,loss,config_id,seed,train_end,validation_end,best_epoch,epochs_run,naive_mae,mae,gain_percent
5,64,0.0003,0.0,256,mse,1,42,874,999,6,16,5.986080000000007,5.983160325689836,0.0487743950994934
30,24,0.003,0.0,64,mae,2,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
30,24,0.001,0.01,64,mse,0,42,874,999,1,11,5.986080000000007,5.984449442850104,0.0272391473201794
5,24,0.0003,0.01,64,mae,6,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
10,24,0.0003,0.0,32,mae,5,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
20,4,0.0001,0.001,256,mae,8,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
60,4,0.001,0.0,256,mse,7,42,874,999,1,11,5.986080000000007,5.98598529012978,0.0015821684679728
60,64,0.001,0.1,64,mae,3,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
20,4,3e-05,0.0,32,mse,9,42,874,999,16,26,5.986080000000007,5.98457463044707,0.0251478355273837
5,8,0.003,0.01,64,mae,12,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
20,8,3e-05,0.0,64,mse,11,42,874,999,30,40,5.986080000000007,5.984538430438252,0.0257525719962958
10,4,0.003,0.0,32,mae,13,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
20,24,0.001,0.1,256,mae,15,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
20,24,0.0001,0.0,256,mse,16,42,874,999,3,13,5.986080000000007,5.98536348324649,0.0119697156322207
5,8,0.001,0.01,256,mse,17,42,874,999,12,22,5.986080000000007,5.983361555940142,0.045412758597696
30,4,0.003,0.1,64,mae,18,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
10,64,0.0001,0.01,256,mae,19,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
60,64,0.001,0.001,64,mae,14,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
60,8,0.001,0.1,256,mse,20,42,874,999,2,12,5.986080000000007,5.984842023128922,0.0206809276034558
10,8,3e-05,0.0,64,mse,21,42,874,999,1,11,5.986080000000007,5.986074025622873,9.980449867663664e-05
60,64,0.001,0.001,32,mse,4,42,874,999,12,22,5.986080000000007,5.983296505978582,0.0464994457378686
30,16,0.0003,0.001,256,mae,22,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
10,8,0.001,0.0,256,mse,25,42,874,999,10,20,5.986080000000007,5.984060204318797,0.0337415417303255
10,4,0.0001,0.001,32,mae,26,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
60,32,3e-05,0.0,256,mae,23,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
10,64,0.001,0.1,64,mae,27,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
5,64,0.0003,0.1,32,mae,28,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
5,4,0.0003,0.1,256,mse,30,42,874,999,8,18,5.986080000000007,5.983180084234688,0.0484443202449669
10,8,0.0003,0.0,64,mse,29,42,874,999,5,15,5.986080000000007,5.984141212969061,0.0323882579408629
10,4,3e-05,0.01,32,mse,24,42,874,999,27,37,5.986080000000007,5.984112204982935,0.032872848626686
60,64,3e-05,0.001,64,mse,10,42,874,999,18,28,5.986080000000007,5.984612520575729,0.0245148648911897
5,16,0.0003,0.1,256,mse,31,42,874,999,12,22,5.986080000000007,5.983331015867552,0.0459229434363606
5,8,0.0001,0.0,256,mae,35,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
10,24,0.0003,0.001,64,mae,34,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
5,64,0.0001,0.001,64,mse,32,42,874,999,5,15,5.986080000000007,5.984208896373169,0.0312575780283319
10,16,0.003,0.01,256,mse,38,42,874,999,5,15,5.986080000000007,5.982926363768651,0.0526828280169477
30,16,0.0003,0.01,64,mse,37,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
60,24,0.0003,0.0,64,mae,36,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
10,16,0.0003,0.1,256,mae,41,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
60,32,0.0003,0.1,64,mse,33,42,874,999,4,14,5.986080000000007,5.984499163817696,0.0264085375122236
60,24,0.003,0.1,256,mae,42,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
5,24,3e-05,0.01,64,mse,39,42,874,999,30,40,5.986080000000007,5.984487215876368,0.0266081329290512
60,8,0.001,0.01,32,mae,43,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
60,8,0.001,0.0,256,mae,44,42,874,999,0,10,5.986080000000007,5.986080000000007,0.0
